Date.and.Time..UTC.,Receiver,Transmitter,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Transmitter.Name,Transmitter.Serial
2018/11/30 07:18,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:23,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:24,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:24,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:26,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:28,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:29,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:31,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:32,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:33,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:34,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:34,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:36,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:44,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:45,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:46,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:48,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:49,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:50,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:51,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:52,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:55,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:56,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:57,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:59,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:00,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:02,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:04,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:06,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:08,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:09,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:10,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:11,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:12,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
